UID,Account Open Date,Arrears Balance,Last Payment Date,Last Collections Action,Mobile Flag,Email Flag,dp1 Result Code,dp1 IVA/CCJ Flag,dp1 Score,dp1 Deceased Flag,dp1 Mobile Flag,dp1 Email Flag,dp1 Latest Residency Confirmation Date,dp2 Council Tax Band,dp2 Occupancy Style,dp3 Match Type,dp3 Match Level,dp3 Score,dp3 Mobile Flag,dp3 Email Flag,dp3 Latest Residency Confirmation Date
320509935,24/07/1996,16,19/03/2025,SMS,Y,N,Deceased,N,0,Y,Y,N,21/03/2025,C,Owner,Forwarding Address,7,963,Y,Y,12/07/2023
665617030,03/06/2018,175,01/03/2025,Letter,N,N,Unmatched,,,,,,,C,Private Renter,Resident,7,854,Y,Y,01/11/2023
725301195,15/11/2013,,,SMS,Y,N,Resident,N,46,N,Y,Y,10/03/2025,C,Social Renter,Unmatched,,,,,
339206697,05/03/2015,2224,05/03/2025,Phone,N,N,Unmatched,,,,,,,E,Social Renter,Resident,7,611,Y,Y,16/03/2023
737529315,29/11/2010,3737,18/11/2023,Email,N,Y,Unmatched,,,,,,,E,Owner,Forwarding Address,9,299,Y,Y,17/12/2018
920546839,10/01/2007,534,02/03/2025,SMS,Y,N,Resident,N,76,N,Y,N,02/03/2025,,Owner,Forwarding Address,5,855,Y,N,09/06/2024
857544841,09/07/2005,2821,,Phone,N,N,Resident,N,39,N,N,N,03/01/2025,E,Owner,Resident,8,665,N,Y,05/04/2020
205263952,02/02/2001,2341,14/02/2025,Email,N,Y,Unmatched,,,,,,,E,Private Renter,Unmatched,,,,,
741235324,04/12/2013,309,28/03/2025,SMS,Y,N,Resident,N,82,N,N,N,15/02/2025,A,Private Renter,Resident,4,893,Y,N,25/10/2024
153693439,17/10/2016,3879,,Phone,N,N,Resident,N,16,N,Y,N,03/06/2023,E,Private Renter,Resident,2,296,Y,Y,22/09/2025
146189180,14/01/1995,40,11/03/2025,SMS,Y,N,Resident,N,93,N,Y,Y,22/03/2025,C,Owner,Resident,6,971,N,Y,12/11/2021
915535571,11/06/2007,4120,29/04/2019,Email,N,Y,Resident,N,14,N,N,N,12/08/2021,F,Social Renter,Resident,8,269,N,Y,07/10/2022
876581331,02/08/2007,48,21/03/2025,Email,N,Y,Resident,N,93,N,N,N,31/03/2025,B,Owner,Forwarding Address,5,988,Y,Y,17/11/2023
265579534,23/07/2000,32,17/03/2025,SMS,Y,N,Deceased,N,0,Y,N,Y,27/03/2025,A,Owner,Deceased,,,Y,N,
952214600,08/01/1997,1306,20/01/2025,SMS,Y,N,Resident,N,73,N,N,N,29/12/2024,C,Owner,Resident,7,768,Y,Y,15/09/2021
830205633,19/03/2010,3,19/03/2025,Email,N,Y,Resident,N,91,N,Y,N,10/03/2025,C,Social Renter,Resident,7,989,Y,Y,19/06/2022
202312981,21/02/2015,3036,11/12/2024,Letter,N,N,Resident,N,19,N,N,N,03/11/2023,B,Social Renter,Resident,1,320,Y,Y,03/10/2025
414099252,08/01/2009,995,08/03/2025,Email,N,Y,Forwarding Address,N,82,N,Y,Y,28/02/2025,C,Owner,Resident,2,930,Y,Y,30/09/2025
626258645,07/01/1995,15,05/04/2025,SMS,Y,N,Forwarding Address,N,98,N,Y,Y,16/03/2025,A,Social Renter,Forwarding Address,6,975,Y,Y,27/06/2024
820238454,11/04/1997,64,,Email,N,Y,Resident,N,85,N,Y,N,12/03/2025,B,,Resident,8,955,Y,Y,04/12/2022
853948239,08/10/2008,1757,10/03/2025,SMS,Y,N,Resident,N,73,N,N,Y,16/02/2025,C,Owner,Forwarding Address,3,706,N,Y,04/04/2025
797134839,11/04/1998,1320,10/02/2025,SMS,Y,N,Resident,N,50,N,Y,N,04/12/2024,D,Owner,Resident,2,803,Y,Y,26/09/2025
701553550,24/10/1995,2896,20/11/2024,Email,N,Y,Resident,N,53,N,N,N,16/12/2024,B,Owner,Deceased,,,Y,Y,
943723201,20/11/2001,896,27/02/2025,Email,N,Y,Resident,N,82,N,N,Y,09/03/2025,C,Owner,Resident,3,866,Y,N,29/05/2025
673408969,01/08/2007,22,11/03/2025,SMS,Y,N,Unmatched,,,,,,,C,Social Renter,Unmatched,,,,,
949653177,28/02/2015,929,11/03/2025,SMS,Y,N,Resident,N,81,N,N,Y,18/02/2025,B,Owner,Resident,4,853,Y,Y,05/09/2024
160329895,11/12/2010,379,07/02/2025,SMS,Y,N,Resident,N,94,N,N,Y,22/03/2025,C,Private Renter,Resident,4,849,Y,Y,17/10/2024
516195093,22/01/2018,4907,,Letter,N,N,Resident,Y,1,N,N,N,20/06/2020,F,,Resident,1,75,N,Y,03/10/2025
897215186,05/09/2000,79,06/04/2025,Email,N,Y,Resident,N,89,N,N,N,14/03/2025,B,Owner,Resident,3,977,N,Y,23/07/2025
929911724,26/10/2017,28,08/04/2025,SMS,Y,N,Unmatched,,,,,,,B,,Resident,6,984,Y,Y,14/01/2023
821542299,05/05/2015,,04/04/2025,Email,N,Y,Resident,N,89,N,Y,N,16/03/2025,A,Private Renter,Unmatched,,,,,
954275044,06/02/2007,96,22/03/2025,SMS,Y,N,Resident,N,89,N,Y,Y,21/03/2025,B,Private Renter,Resident,6,977,Y,Y,31/01/2022
644536408,08/04/2008,2009,27/10/2024,Email,N,Y,Unmatched,,,,,,,D,Social Renter,Resident,7,512,N,N,14/11/2022
318943984,16/05/2018,2283,11/12/2024,Email,N,Y,Unmatched,,,,,,,F,Private Renter,Resident,7,600,Y,Y,13/11/2022
152128816,06/11/2012,3365,17/10/2024,Letter,N,N,Resident,N,15,N,Y,Y,20/03/2023,E,Private Renter,Resident,1,282,Y,Y,03/10/2025
376917175,20/06/2010,2007,10/01/2025,Phone,N,N,Unmatched,,,,,,,,Owner,Deceased,,,Y,Y,
636118594,31/10/1999,2655,22/11/2024,Phone,N,N,Deceased,N,0,Y,Y,Y,25/09/2024,C,Private Renter,Deceased,,,Y,N,
895570481,04/08/2000,66,24/03/2025,SMS,Y,N,Resident,N,99,N,Y,Y,07/04/2025,,Owner,Resident,9,959,Y,Y,14/08/2019
227155108,12/02/1999,1257,30/12/2024,Email,N,Y,Resident,N,80,N,Y,Y,13/12/2024,B,Owner,Resident,7,701,Y,Y,02/02/2022
496348983,04/05/2009,1726,01/02/2025,Email,N,Y,Resident,N,50,N,N,Y,02/01/2025,E,,Resident,8,700,Y,Y,09/07/2020
341349808,06/04/2000,114,23/03/2025,Email,N,Y,Unmatched,,,,,,,A,Owner,Unmatched,,,,,
857593580,09/07/2000,2213,26/02/2025,SMS,Y,N,Resident,N,39,N,N,N,13/11/2024,E,Owner,Resident,1,709,Y,Y,03/10/2025
464322349,24/03/2013,69,09/04/2025,SMS,Y,N,Resident,N,85,N,Y,N,14/03/2025,B,Private Renter,Resident,2,964,Y,Y,23/09/2025
613696709,17/03/2010,1337,28/12/2024,Email,N,Y,Unmatched,,,,,,,D,Social Renter,Unmatched,,,,,
474808016,27/03/1998,2971,18/10/2024,Email,N,Y,Resident,N,28,N,N,N,03/09/2024,E,Private Renter,Resident,8,675,N,Y,25/12/2019
237111459,11/12/2017,18,23/03/2025,SMS,Y,N,Resident,N,92,N,Y,Y,06/04/2025,B,Owner,Resident,5,989,Y,Y,04/05/2024
835239506,13/08/2001,3584,24/04/2024,Phone,N,N,Resident,N,22,N,Y,N,24/07/2023,F,Social Renter,Forwarding Address,6,379,Y,Y,18/12/2022
330074074,20/05/2005,1696,18/02/2025,Phone,N,N,Resident,N,62,N,N,Y,24/11/2024,E,Social Renter,Resident,7,701,Y,Y,07/04/2021
694148273,20/04/2001,224,15/03/2025,SMS,Y,N,Resident,N,92,N,Y,Y,15/03/2025,A,Social Renter,Resident,6,959,Y,Y,20/10/2022
357654044,07/04/2005,100,28/03/2025,SMS,Y,N,Unmatched,,,,,,,A,,Resident,6,968,Y,Y,06/12/2023
176849717,15/12/2012,2512,23/12/2024,SMS,Y,N,Resident,N,27,N,N,N,27/10/2024,F,Private Renter,Resident,3,549,Y,Y,27/08/2025
826693495,21/10/2011,1734,17/01/2025,Email,N,Y,Unmatched,,,,,,,B,Owner,Unmatched,,,,,
865138414,24/10/2007,34,17/03/2025,Email,N,Y,Resident,N,88,N,Y,Y,06/04/2025,A,Owner,Resident,6,966,Y,Y,28/01/2022
861026783,12/06/2002,,18/03/2025,Email,N,Y,Resident,N,42,N,Y,Y,03/04/2025,F,,Resident,8,702,N,Y,24/02/2023
643034599,10/07/2017,17,21/03/2025,SMS,Y,N,Resident,N,91,N,Y,N,28/03/2025,A,Private Renter,Resident,5,954,N,Y,17/12/2023
346717172,01/08/2011,21,21/03/2025,Email,N,Y,Unmatched,,,,,,,,Owner,Unmatched,,,,,
860392550,18/05/2007,1351,,SMS,Y,N,Resident,N,74,N,Y,N,03/12/2024,,Private Renter,Forwarding Address,7,789,Y,Y,16/02/2021
923855486,09/08/2001,47,17/03/2025,Email,N,Y,Resident,N,86,N,Y,N,08/04/2025,B,Owner,Resident,5,974,Y,Y,11/11/2023
261250777,13/04/1997,74,22/03/2025,SMS,Y,N,Resident,N,93,N,N,Y,21/03/2025,C,Owner,Resident,1,972,Y,Y,03/10/2025
832608454,15/12/2000,2761,01/09/2024,Phone,N,N,Deceased,N,0,Y,N,N,01/10/2024,,Private Renter,Deceased,,,N,Y,
159411917,12/08/2001,5463,28/11/2020,Phone,N,N,Unmatched,,,,,,,F,Private Renter,Resident,4,243,Y,Y,05/02/2025
854902435,10/01/1996,74,14/03/2025,Email,N,Y,Resident,N,98,N,N,Y,18/03/2025,A,Social Renter,Resident,1,955,Y,Y,03/10/2025
630016911,04/12/2015,,09/04/2025,Letter,N,N,Deceased,N,0,Y,Y,N,23/03/2025,D,Owner,Deceased,,,Y,N,
391615365,21/09/1998,69,20/03/2025,SMS,Y,N,Deceased,N,0,Y,Y,Y,07/04/2025,B,Owner,Deceased,,,Y,Y,
951229030,03/08/2001,2405,30/10/2024,Phone,N,N,Unmatched,,,,,,,D,Social Renter,Resident,5,622,Y,Y,18/12/2023
