UID,Embed_X,Embed_Y,Account Open Date,Arrears Balance,Last Payment Date,Last Collections Action,Mobile Flag,Email Flag,dp1 Result Code,dp1 IVA/CCJ Flag,dp1 Score,dp1 Deceased Flag,dp1 Mobile Flag,dp1 Email Flag,dp1 Latest Residency Confirmation Date,dp2 Council Tax Band,dp2 Occupancy Style,dp3 Match Type,dp3 Match Level,dp3 Score,dp3 Mobile Flag,dp3 Email Flag,dp3 Latest Residency Confirmation Date,Residency Zone,Mobile_Available,Email_Available,Segment_Risk_Score,Action_Tier,Anomaly Label,Cluster,Recovery Strategy
194477727,-0.47345573,2.7685857,1999-11-24,96.0,2025-03-13,SMS,Y,N,Resident,N,99.0,N,Y,Y,2025-03-13,A,Social Renter,Resident,3.0,984.0,Y,Y,2025-05-05,Zone 1 - Agreement,1,0,36.89,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
384979263,-0.79692,2.9110706,2006-11-18,68.0,2025-03-18,SMS,Y,N,Resident,N,98.0,N,Y,N,2025-03-25,C,Owner,Resident,9.0,988.0,Y,Y,2021-10-11,Zone 1 - Agreement,1,0,37.21,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
278387760,-0.79693544,2.9104824,2000-08-29,36.0,2025-03-20,SMS,Y,N,Resident,N,99.0,N,Y,Y,2025-03-10,A,Owner,Resident,3.0,972.0,Y,Y,2025-04-02,Zone 1 - Agreement,1,0,37.49,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
793208927,-0.78546363,2.905831,2013-12-03,99.0,2025-03-15,SMS,Y,N,Resident,N,99.0,N,Y,N,2025-03-16,C,Owner,Resident,4.0,977.0,Y,Y,2025-03-16,Zone 1 - Agreement,1,0,37.62,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
626258645,-0.48670402,2.6175559,1995-01-07,15.0,2025-04-05,SMS,Y,N,Forwarding Address,N,98.0,N,Y,Y,2025-03-16,A,Social Renter,Forwarding Address,6.0,975.0,Y,Y,2024-06-27,Zone 4 - Neither says Resident,1,0,37.98,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
768599736,-0.5179248,2.7603245,2012-09-06,81.0,2025-03-19,SMS,Y,N,Resident,N,97.0,N,Y,Y,2025-03-16,B,,Resident,7.0,987.0,Y,Y,2022-11-24,Zone 1 - Agreement,1,0,38.44,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
193700333,-0.78031385,2.9149182,2000-05-29,4.0,2025-03-11,SMS,Y,N,Resident,N,99.0,N,Y,Y,2025-03-23,C,Owner,Resident,7.0,958.0,Y,N,2022-10-19,Zone 1 - Agreement,1,0,38.57,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
444355405,-0.46749473,2.8552947,1999-12-22,78.0,2025-03-13,SMS,Y,N,Resident,N,98.0,N,Y,Y,2025-03-24,A,Private Renter,Resident,8.0,972.0,Y,Y,2022-05-23,Zone 1 - Agreement,1,0,38.91,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
644114704,-0.7705098,2.6858222,2004-07-10,72.0,2025-04-09,SMS,Y,N,Forwarding Address,N,98.0,N,N,Y,2025-04-03,,Owner,Forwarding Address,8.0,970.0,Y,Y,2021-12-08,Zone 4 - Neither says Resident,1,0,39.05,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
895570481,-0.7613443,2.91105,2000-08-04,66.0,2025-03-24,SMS,Y,N,Resident,N,99.0,N,Y,Y,2025-04-07,,Owner,Resident,9.0,959.0,Y,Y,2019-08-14,Zone 1 - Agreement,1,0,39.09,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
572318456,-0.72559834,2.7916353,2003-06-01,41.0,2025-04-03,SMS,Y,N,Resident,N,97.0,N,Y,Y,2025-04-02,A,Owner,Forwarding Address,6.0,976.0,Y,Y,2023-01-18,Zone 2 - Only dp1 says Resident,1,0,39.14,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
956302972,-0.76860696,2.9197583,2018-03-09,1.0,2025-03-26,SMS,Y,N,Resident,N,98.0,N,Y,Y,2025-03-24,A,Owner,Resident,8.0,962.0,Y,Y,2020-05-18,Zone 1 - Agreement,1,0,39.14,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
739217062,-0.7570021,2.9140317,2008-02-09,76.0,2025-04-03,SMS,Y,N,Resident,N,98.0,N,Y,Y,2025-03-29,,Owner,Resident,3.0,969.0,Y,Y,2025-07-13,Zone 1 - Agreement,1,0,39.19,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
231234245,-0.7594471,2.9143972,2008-04-29,31.0,2025-03-23,SMS,Y,N,Resident,N,99.0,N,Y,Y,2025-03-11,A,Owner,Resident,5.0,952.0,Y,Y,2023-12-29,Zone 1 - Agreement,1,0,39.44,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
259586050,-0.74896735,2.913142,2007-03-03,94.0,2025-03-12,SMS,Y,N,Resident,N,98.0,N,Y,Y,2025-04-03,A,Owner,Resident,9.0,968.0,Y,Y,2018-11-02,Zone 1 - Agreement,1,0,39.47,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
245996316,-0.74937147,2.9137387,2009-07-21,87.0,2025-03-11,SMS,Y,N,Resident,N,98.0,N,Y,Y,2025-03-24,,Owner,Resident,9.0,967.0,Y,Y,2018-12-01,Zone 1 - Agreement,1,0,39.5,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
274353255,-0.45944867,2.858464,2009-06-26,51.0,2025-03-27,SMS,Y,N,Resident,N,97.0,N,Y,Y,2025-04-01,C,Private Renter,Resident,6.0,972.0,Y,Y,2024-02-14,Zone 1 - Agreement,1,0,39.64,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
551187389,-0.7386515,2.9246042,2004-01-27,55.0,2025-04-05,SMS,Y,N,Resident,N,96.0,N,Y,Y,2025-03-14,A,Owner,Resident,7.0,977.0,Y,Y,2021-07-08,Zone 1 - Agreement,1,0,40.18,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
178181770,-0.74057996,2.9200802,1998-10-28,26.0,2025-03-23,SMS,Y,N,Resident,N,98.0,N,Y,Y,2025-03-12,,Owner,Resident,2.0,952.0,Y,N,2025-09-24,Zone 1 - Agreement,1,0,40.39,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
874702087,-0.7283918,2.9217443,2003-07-14,97.0,,SMS,Y,N,Resident,N,96.0,N,Y,Y,2025-03-19,A,Owner,Resident,5.0,979.0,Y,Y,2023-10-18,Zone 1 - Agreement,1,0,40.4,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
216133270,-0.41594133,2.7717535,2007-08-23,79.0,2025-04-09,SMS,Y,N,Resident,N,97.0,N,Y,Y,2025-04-09,B,Social Renter,Resident,3.0,967.0,Y,Y,2025-06-02,Zone 1 - Agreement,1,0,40.42,Tier 1 - Low Risk,Normal,2,"🕵️ Trace First (High Risk, Tier-3)"
