UID,Account Open Date,Arrears Balance,Last Payment Date,Last Collections Action,Mobile Flag,Email Flag,dp1 Result Code,dp1 IVA/CCJ Flag,dp1 Score,dp1 Deceased Flag,dp1 Mobile Flag,dp1 Email Flag,dp1 Latest Residency Confirmation Date,dp2 Council Tax Band,dp2 Occupancy Style,dp3 Match Type,dp3 Match Level,dp3 Score,dp3 Mobile Flag,dp3 Email Flag,dp3 Latest Residency Confirmation Date,Residency Zone,Mobile_Available,Email_Available,Segment_Risk_Score,Action_Tier
320509935,1996-07-24,16.0,2025-03-19,SMS,Y,N,Deceased,N,0.0,Y,Y,N,2025-03-21,C,Owner,Forwarding Address,7.0,963.0,Y,Y,2023-07-12,Zone 4 - Neither says Resident,1,0,137.19,Tier 3 - High Risk
920546839,2007-01-10,534.0,2025-03-02,SMS,Y,N,Resident,N,76.0,N,Y,N,2025-03-02,,Owner,Forwarding Address,5.0,855.0,Y,N,2024-06-09,Zone 2 - Only dp1 says Resident,1,0,77.17,Tier 2 - Medium Risk
857544841,2005-07-09,2821.0,,Phone,N,N,Resident,N,39.0,N,N,N,2025-01-03,E,Owner,Resident,8.0,665.0,N,Y,2020-04-05,Zone 1 - Agreement,0,0,206.04,Tier 3 - High Risk
741235324,2013-12-04,309.0,2025-03-28,SMS,Y,N,Resident,N,82.0,N,N,N,2025-02-15,A,Private Renter,Resident,4.0,893.0,Y,N,2024-10-25,Zone 1 - Agreement,1,0,65.12,Tier 1 - Low Risk
153693439,2016-10-17,3879.0,,Phone,N,N,Resident,N,16.0,N,Y,N,2023-06-03,E,Private Renter,Resident,2.0,296.0,Y,Y,2025-09-22,Zone 1 - Agreement,0,0,276.52,Tier 3 - High Risk
146189180,1995-01-14,40.0,2025-03-11,SMS,Y,N,Resident,N,93.0,N,Y,Y,2025-03-22,C,Owner,Resident,6.0,971.0,N,Y,2021-11-12,Zone 1 - Agreement,1,0,43.63,Tier 1 - Low Risk
915535571,2007-06-11,4120.0,2019-04-29,Email,N,Y,Resident,N,14.0,N,N,N,2021-08-12,F,Social Renter,Resident,8.0,269.0,N,Y,2022-10-07,Zone 1 - Agreement,0,1,250.3,Tier 3 - High Risk
876581331,2007-08-02,48.0,2025-03-21,Email,N,Y,Resident,N,93.0,N,N,N,2025-03-31,B,Owner,Forwarding Address,5.0,988.0,Y,Y,2023-11-17,Zone 2 - Only dp1 says Resident,0,1,58.68,Tier 1 - Low Risk
952214600,1997-01-08,1306.0,2025-01-20,SMS,Y,N,Resident,N,73.0,N,N,N,2024-12-29,C,Owner,Resident,7.0,768.0,Y,Y,2021-09-15,Zone 1 - Agreement,1,0,96.59,Tier 2 - Medium Risk
830205633,2010-03-19,3.0,2025-03-19,Email,N,Y,Resident,N,91.0,N,Y,N,2025-03-10,C,Social Renter,Resident,7.0,989.0,Y,Y,2022-06-19,Zone 1 - Agreement,0,1,60.13,Tier 1 - Low Risk
