UID,Account Open Date,Arrears Balance,Last Payment Date,Last Collections Action,Mobile Flag,Email Flag,dp1 Result Code,dp1 IVA/CCJ Flag,dp1 Score,dp1 Deceased Flag,dp1 Mobile Flag,dp1 Email Flag,dp1 Latest Residency Confirmation Date,dp2 Council Tax Band,dp2 Occupancy Style,dp3 Match Type,dp3 Match Level,dp3 Score,dp3 Mobile Flag,dp3 Email Flag,dp3 Latest Residency Confirmation Date,Residency Zone,Segment_Risk_Score,Action_Tier
320509935,1996-07-24,16.0,2025-03-19,SMS,Y,N,Deceased,N,0.0,Y,Y,N,2025-03-21,C,Owner,Forwarding Address,7.0,963.0,Y,Y,2023-07-12,Zone 4 - Neither says Resident,97.8,Tier 2 – Medium Risk
665617030,2018-06-03,175.0,2025-03-01,Letter,N,N,Unmatched,,,,,,,C,Private Renter,Resident,7.0,854.0,Y,Y,2023-11-01,Zone 3 - Only dp3 says Resident,108.1,Tier 3 – High Risk
725301195,2013-11-15,,,SMS,Y,N,Resident,N,46.0,N,Y,Y,2025-03-10,C,Social Renter,Unmatched,,,,,,Zone 2 - Only dp1 says Resident,144.7,Tier 3 – High Risk
339206697,2015-03-05,2224.0,2025-03-05,Phone,N,N,Unmatched,,,,,,,E,Social Renter,Resident,7.0,611.0,Y,Y,2023-03-16,Zone 3 - Only dp3 says Resident,212.6,Tier 3 – High Risk
737529315,2010-11-29,3737.0,2023-11-18,Email,N,Y,Unmatched,,,,,,,E,Owner,Forwarding Address,9.0,299.0,Y,Y,2018-12-17,Zone 4 - Neither says Resident,144.4,Tier 3 – High Risk
920546839,2007-01-10,534.0,2025-03-02,SMS,Y,N,Resident,N,76.0,N,Y,N,2025-03-02,,Owner,Forwarding Address,5.0,855.0,Y,N,2024-06-09,Zone 2 - Only dp1 says Resident,,
857544841,2005-07-09,2821.0,,Phone,N,N,Resident,N,39.0,N,N,N,2025-01-03,E,Owner,Resident,8.0,665.0,N,Y,2020-04-05,Zone 1 - Agreement,144.4,Tier 3 – High Risk
205263952,2001-02-02,2341.0,2025-02-14,Email,N,Y,Unmatched,,,,,,,E,Private Renter,Unmatched,,,,,,Zone 4 - Neither says Resident,192.1,Tier 3 – High Risk
741235324,2013-12-04,309.0,2025-03-28,SMS,Y,N,Resident,N,82.0,N,N,N,2025-02-15,A,Private Renter,Resident,4.0,893.0,Y,N,2024-10-25,Zone 1 - Agreement,73.0,Tier 2 – Medium Risk
153693439,2016-10-17,3879.0,,Phone,N,N,Resident,N,16.0,N,Y,N,2023-06-03,E,Private Renter,Resident,2.0,296.0,Y,Y,2025-09-22,Zone 1 - Agreement,192.1,Tier 3 – High Risk
