UID,Risk Tier,Final Action,Contact Path,Success,Comment
194477727,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
384979263,Tier 1 - Low Risk,Call,SMS → Email → Call,1,Success via Call
278387760,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
793208927,Tier 1 - Low Risk,Call,SMS → Email → Call,1,Success via Call
626258645,Tier 1 - Low Risk,Call,SMS → Email → Call,1,Success via Call
768599736,Tier 1 - Low Risk,Email,SMS → Email,1,Success via Email
193700333,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
444355405,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
644114704,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
895570481,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
572318456,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
956302972,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
739217062,Tier 1 - Low Risk,Call,SMS → Email → Call,1,Success via Call
231234245,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
259586050,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
245996316,Tier 1 - Low Risk,Email,SMS → Email,1,Success via Email
274353255,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
551187389,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
178181770,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
874702087,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
216133270,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
378075233,Tier 1 - Low Risk,Call,SMS → Email → Call,1,Success via Call
569937851,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
393777044,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
106504409,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
189977269,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
407709860,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
858229213,Tier 1 - Low Risk,Call,SMS → Email → Call,1,Success via Call
941340767,Tier 1 - Low Risk,None,SMS → Email → Call,0,No contact success
307111297,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
701453953,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
512778860,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
200872587,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
832143050,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
498595799,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
326426261,Tier 1 - Low Risk,Email,SMS → Email,1,Success via Email
621123043,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
302325791,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
676447399,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
237111459,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
307046892,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
812551758,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
978693146,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
312593657,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
379590791,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
999681890,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
792320040,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
925998290,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
652977133,Tier 1 - Low Risk,None,SMS → Email → Call,0,No contact success
496458582,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
146189180,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
624034719,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
881172023,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
368241195,Tier 1 - Low Risk,Email,SMS → Email,1,Success via Email
206410033,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
261250777,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
109652942,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
163545540,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
450621146,Tier 1 - Low Risk,None,SMS → Email → Call,0,No contact success
425529755,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
118925492,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
343847511,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
450146318,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
484183477,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
924449508,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
822676632,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
277804390,Tier 1 - Low Risk,Email,SMS → Email,1,Success via Email
103060434,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
805195699,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
433003842,Tier 1 - Low Risk,Email,SMS → Email,1,Success via Email
948800303,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
367179542,Tier 1 - Low Risk,Call,SMS → Email → Call,1,Success via Call
736188103,Tier 1 - Low Risk,Email,SMS → Email,1,Success via Email
691622014,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
563008860,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
224801646,Tier 1 - Low Risk,Email,SMS → Email,1,Success via Email
647919063,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
759664863,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
682434809,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
643034599,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
347770789,Tier 1 - Low Risk,Call,SMS → Email → Call,1,Success via Call
993512273,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
606163220,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
954275044,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
694148273,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
747965903,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
199973173,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
511154791,Tier 1 - Low Risk,SMS,SMS,1,Success via SMS
